state,state_code,month,year,deaths,population,rate
Colorado,8,1,2018,60,5798604,1.034731808
Colorado,8,2,2018,54,5798604,0.931258627
Colorado,8,3,2018,53,5798604,0.914013097
Colorado,8,4,2018,50,5798604,0.862276507
Colorado,8,5,2018,54,5798604,0.931258627
Colorado,8,6,2018,38,5798604,0.655330145
Colorado,8,7,2018,52,5798604,0.896767567
Colorado,8,8,2018,54,5798604,0.931258627
Colorado,8,9,2018,39,5798604,0.672575675
Colorado,8,10,2018,43,5798604,0.741557796
Colorado,8,11,2018,42,5798604,0.724312266
Colorado,8,12,2018,61,5798604,1.051977338
Colorado,8,13,2019,60,5798604,1.034731808
Colorado,8,14,2019,47,5798604,0.810539916
Colorado,8,15,2019,54,5798604,0.931258627
Colorado,8,16,2019,52,5798604,0.896767567
Colorado,8,17,2019,49,5798604,0.845030976
Colorado,8,18,2019,46,5798604,0.793294386
Colorado,8,19,2019,61,5798604,1.051977338
Colorado,8,20,2019,49,5798604,0.845030976
Colorado,8,21,2019,49,5798604,0.845030976
Colorado,8,22,2019,59,5798604,1.017486278
Colorado,8,23,2019,59,5798604,1.017486278
Colorado,8,24,2019,84,5798604,1.448624531
Colorado,8,25,2020,67,5798604,1.155450519
Colorado,8,26,2020,66,5798604,1.138204989
Colorado,8,27,2020,79,5798604,1.36239688
Colorado,8,28,2020,102,5798604,1.759044073
Colorado,8,29,2020,101,5798604,1.741798543
Colorado,8,30,2020,74,5798604,1.27616923
Colorado,8,31,2020,85,5798604,1.465870061
Colorado,8,32,2020,105,5798604,1.810780664
Colorado,8,33,2020,78,5798604,1.34515135
Colorado,8,34,2020,68,5798604,1.172696049
Colorado,8,35,2020,81,5798604,1.396887941
Colorado,8,36,2020,80,5798604,1.37964241
Colorado,8,37,2021,107,5798604,1.845271724
Colorado,8,38,2021,78,5798604,1.34515135
Colorado,8,39,2021,114,5798604,1.965990435
Colorado,8,40,2021,108,5798604,1.862517254
Colorado,8,41,2021,116,5798604,2.000481495
Colorado,8,42,2021,121,5798604,2.086709146
Colorado,8,43,2021,121,5798604,2.086709146
Colorado,8,44,2021,142,5798604,2.448865279
Colorado,8,45,2021,124,5798604,2.138445736
Colorado,8,46,2021,98,5798604,1.690061953
Colorado,8,47,2021,99,5798604,1.707307483
Colorado,8,48,2021,89,5798604,1.534852182
Colorado,8,49,2022,119,5798604,2.052218086
Colorado,8,50,2022,105,5798604,1.810780664
Colorado,8,51,2022,78,5798604,1.34515135
Colorado,8,52,2022,94,5798604,1.621079832
Colorado,8,53,2022,117,5798604,2.017727025
Colorado,8,54,2022,75,5798604,1.29341476
Colorado,8,55,2022,101,5798604,1.741798543
Colorado,8,56,2022,95,5798604,1.638325362
Colorado,8,57,2022,97,5798604,1.672816423
Colorado,8,58,2022,108,5798604,1.862517254
Colorado,8,59,2022,105,5798604,1.810780664
Colorado,8,60,2022,116,5798604,2.000481495
Colorado,8,61,2023,107,5798604,1.845271724
Colorado,8,62,2023,106,5798604,1.828026194
Colorado,8,63,2023,102,5798604,1.759044073
Colorado,8,64,2023,120,5798604,2.069463616
Colorado,8,65,2023,128,5798604,2.207427857
Colorado,8,66,2023,110,5798604,1.897008314
Colorado,8,67,2023,113,5798604,1.948744905
Colorado,8,68,2023,109,5798604,1.879762784
Colorado,8,69,2023,110,5798604,1.897008314
Colorado,8,70,2023,100,5798604,1.724553013
Colorado,8,71,2023,126,5798604,2.172936797
